,product,class,code,name,image,price
272,HO02,꿀,HO,롱간허니 1KG/㈜대동농원,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/06/05/980//202406051428152db4aa0354f84926b084ca2978db7238_l1jx.jpg,"18,400원"
273,HO03,꿀,HO,허니비푸드아카시아청 2KG/㈜대동농원,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/06/05/110//20240605142445f9ddf6e1b4454809a23c7b22b7d0b837_18ua.jpg,"9,300원"
274,HO04,꿀,HO,허니비푸드잡화청 2KG/㈜대동농원,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/06/05/828//20240605142440b2fe1bd2706b48cc863e0be448a803b6_sofm.jpg,"9,300원"
275,VI00,식초,VI,깔끔한양조식초 15L/샘표,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/01//2019043010312889e5cbcd516345cdb74ad235d711ad7f_o5rk.jpg,"16,300원"
276,VI01,식초,VI,백설레몬식초(지중해산) 500ML/씨제이제일제당(주),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/02/08/828//20210208091915cec99baac3b3444286b8f152e9c9a57e_wxpi.jpg,"2,000원"
277,VI02,식초,VI,빙초산 1.5L/유림,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/03//201904301050214d4518b3a6b7439b811669f28659a0c2_kj6z.jpg,"5,900원"
278,VI03,식초,VI,빙초산 1.5L/유림  BOX (10),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/13/628//202408131600002791d4288fa841d7a6aad583d726a2a3_4vcl.jpg,"55,000원"
279,VI04,식초,VI,빙초산 450ML/유림,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/03//20190430105021912c4acf3a5c4c35b4c79bf95dbac3ea_ospx.jpg,"2,800원"
280,CW00,맛술,CW,맛술(생강) 800ML/백설,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2020/03/16/210//202003161509409ba3764b981f4cfca402a0a7f24964e2_7zfz.jpg,"4,800원"
281,CW01,맛술,CW,맛술(로즈마리) 800ML/백설,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2020/03/16/857//202003161513051e3d82ebab5e4de5830f90d5b5c873ac_3f3m.jpg,"4,800원"
282,CW02,맛술,CW,요리맛술 2KG/(주)청우식품,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2025/02/27/632//20250227153355854b1b3dfc52467fb1c3148f5d12320b_c5j8.jpg,"5,900원"
283,CW03,맛술,CW,쉐프원맛술 2KG/대상(주),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2025/02/26/254//2025022614123592ebb0d3685948d9abe0efe987922728_6p4d.jpg,"4,550원"
284,CW04,맛술,CW,월계수잎맛술 410ML/대상(주),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/02/10/306//20210210103835820a7df54cac41639f8be0d530b2a52e_gu7t.jpg,"2,700원"
285,SE00,향신료,SE,겨자분 300G/오뚜기,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/02//201904301030260bbfc6223b1d45fd8edffacf5ec01218_olzd.jpg,"3,650원"
286,SE01,향신료,SE,계피분말 300G/(주)청우식품,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2019/06/11/324//20190611120725d4b9747127e74c3ba11957d5c4dfb29f_f4xr.jpg,"7,800원"
287,SE02,향신료,SE,굵은후추가루 400G/이슬나라,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/05/27/564//20210527100955831239c3f1854bda9819a8c282b965a6_ca2i.jpg,"14,000원"
288,SE03,향신료,SE,굵은흑후추 70G/이슬나라,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2020/05/25/295//202005251521058ae8dedd50574fef8b7adcc16b55f976_kx5t.jpg,"5,400원"
289,SE04,향신료,SE,로즈마리(분말) 240G/(주)청우식품,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2019/06/11/126//20190611123105031b95e192fe49249fa9ba20ae0443e3_4uvp.jpg,"8,800원"
290,MS00,미원,MS,업소용미원 1kg/청정원,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/02//2019043011003482e6170c77a5494fb7051a7e74f3752b_fgdl.jpg,"12,900원"
291,MS01,미원,MS,아미노산미원 2kg/청정원,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/02//2019043010571059bdbfbaa5a14b1db2b3b92e7f7ef65d_lga3.jpg,"36,500원"
292,MS02,미원,MS,업소용미원 25kg/청정원,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/01//201904301100356681a46eccf4417e8304561d96a170e6_xrlj.jpg,"239,600원"
293,MS03,미원,MS,업소용미원 3KG/청정원,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/17/675//20240817082135768a0241bc374630a0f53f8f7310e8d1_jnlm.jpg,"33,900원"
294,MS04,미원,MS,중화요리전용미원 2KG/청정원,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/02//201904301110166867481385cf4cd68b8126646db442aa_fcm8.jpg,"18,100원"
295,DS00,다시다,DS,백설냉면다시다 300G/씨제이제일제당(주),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/06/23/449//2021062313234575f8b02fbf8640cf92a2fb21006e64a4_ahr2.jpg,"4,200원"
296,DS01,다시다,DS,백설다시다명품골드 100G/씨제이제일제당(주),http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/01//20190430103537191b2ff1345d4225960924e26c90acfb_lris.jpg,"4,900원"
297,DS02,다시다,DS,닭칼국수스프 500G/이슬나라,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2023/09/13/069//202309131414155067cb9ce5594fd0a29f84c6bea657ca_r1zw.jpg,"4,950원"
298,DS03,다시다,DS,멸치다시다 1KG/백설,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/13/758//2024081313585084961ab340644a2ca3725cf7c4f23b50_u6vh.jpg,"15,200원"
299,DS04,다시다,DS,멸치다시다 1KG/백설  BOX (10),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/13/437//20240813140000720baf07b8024d6c8be3e656774bf26d_9e9b.jpg,"142,700원"
